Sector,Job role,Employment type,Gender,Age group,Remote work,Work hours increase (%),Productivity change (%),Stress level (1-10),"Job satisfaction (-5,5)",Income change (%),Tech tools use increase (%),Health impact (1-10),"Family work balance impact (-5,5)",Company support level (1-10),"Job satisfaction (-5,5))",Productivity change (%
other,executive,unemployed,male,25-34,often,-2.67,-1.84,10.0,-0.2,-16.08,31.29,7.0,5.0,6.0,,-1.84%
manufacturing,freelancer,part-time,male,18-24,always,-12.49,-28.94,7.0,4.0,-23.75,35.51,4.0,0.0,6.0,,-28.94%
education,intern,full-time,male,18-24,often,8.62,0.23,8.0,2.5,-7.15,50.63,7.0,-3.0,6.0,,0.23%
retail,freelancer,part-time,female,25-34,never,8.69,20.25,2.0,6.5,-17.65,0.73,5.0,-4.0,2.0,-0.2,20.25%
finance,executive,full-time,female,55+,occasionally,18.22,-12.01,9.0,-1.0,-4.44,15.18,6.0,5.0,2.0,,-12.01%
education,staff,full-time,other,25-34,rarely,24.24,23.52,7.0,-0.2,12.69,31.64,7.0,0.0,6.0,,23.52%
finance,manager,part-time,female,18-24,never,9.11,21.85,8.0,1.5,-3.0,18.05,10.0,-3.0,10.0,,21.85%
other,intern,full-time,female,25-34,occasionally,37.83,30.27,6.0,2.5,14.97,28.28,7.0,-4.0,5.0,,30.27%
healthcare,intern,unemployed,male,25-34,often,13.36,3.1,6.0,-1.5,-14.82,25.63,7.0,-5.0,7.0,,3.10%
education,freelancer,self-employed,male,55+,always,4.8,7.25,9.0,1.0,-17.81,42.4,7.0,2.0,7.0,,7.25%
retail,intern,part-time,male,45-54,rarely,-14.17,26.28,4.0,4.5,-15.27,16.92,7.0,-5.0,5.0,,26.28%
education,executive,full-time,male,18-24,always,6.06,6.45,5.0,0.0,-5.65,40.73,3.0,-1.0,8.0,,6.45%
education,executive,part-time,male,55+,often,4.95,-14.52,9.0,-3.0,22.23,23.42,3.0,5.0,10.0,,-14.52%
education,freelancer,unemployed,male,25-34,occasionally,24.4,-9.47,1.0,-1.0,-21.62,28.18,7.0,0.0,6.0,,-9.47%
manufacturing,executive,part-time,male,25-34,often,9.41,2.77,4.0,5.5,1.2,55.25,2.0,5.0,5.0,-0.2,2.77%
education,staff,part-time,other,45-54,often,-7.69,-29.31,7.0,4.0,-12.0,30.75,2.0,-3.0,4.0,,-29.31%
finance,freelancer,full-time,other,18-24,always,12.58,-7.37,9.0,0.0,-7.24,38.68,3.0,1.0,7.0,,-7.37%
healthcare,staff,unemployed,other,18-24,rarely,20.07,16.93,10.0,-4.5,-17.58,22.97,4.0,-4.0,4.0,,16.93%
other,manager,self-employed,other,35-44,often,32.92,-46.83,6.0,3.5,3.79,36.75,6.0,1.0,5.0,,-46.83%
technology,staff,self-employed,male,18-24,always,23.31,26.69,8.0,-4.5,-5.44,44.68,8.0,-4.0,5.0,,26.69%
education,manager,full-time,other,45-54,rarely,21.41,17.95,9.0,-2.0,5.87,27.57,10.0,-1.0,1.0,,17.95%
retail,manager,part-time,male,35-44,occasionally,10.9,-14.2,10.0,-0.5,-3.25,32.79,10.0,1.0,1.0,,-14.20%
education,staff,full-time,other,35-44,occasionally,15.82,8.87,4.0,3.5,-24.32,28.19,7.0,5.0,3.0,,8.87%
retail,freelancer,full-time,female,25-34,never,28.74,-0.44,1.0,2.0,5.97,21.0,4.0,5.0,3.0,,-0.44%
finance,executive,full-time,other,25-34,always,-9.99,20.6,8.0,-2.5,-25.13,37.86,2.0,-3.0,2.0,,20.60%
retail,executive,part-time,other,18-24,rarely,4.76,18.65,2.0,6.5,-23.7,6.88,2.0,5.0,2.0,-0.2,18.65%
technology,manager,unemployed,male,35-44,often,-1.59,-28.5,1.0,-2.0,-14.17,61.31,4.0,-2.0,6.0,,-28.50%
healthcare,manager,full-time,other,25-34,occasionally,15.69,8.25,7.0,-5.0,-14.04,37.28,6.0,-5.0,1.0,,8.25%
retail,freelancer,part-time,female,45-54,rarely,28.45,-9.11,10.0,0.5,8.96,15.21,3.0,-3.0,6.0,,-9.11%
retail,intern,unemployed,male,25-34,always,1.05,-2.84,9.0,-0.2,-6.71,42.3,6.0,3.0,5.0,,-2.84%
healthcare,staff,full-time,male,25-34,never,-25.85,-19.06,9.0,-0.2,7.47,6.54,5.0,4.0,6.0,,-19.06%
technology,manager,self-employed,other,35-44,occasionally,3.82,33.46,3.0,-2.0,-10.68,25.06,5.0,-1.0,5.0,,33.46%
education,executive,unemployed,male,35-44,rarely,23.7,17.8,6.0,-3.5,-1.82,10.18,2.0,2.0,7.0,,17.80%
retail,freelancer,full-time,male,55+,rarely,18.06,-18.3,7.0,-3.0,-0.26,24.49,8.0,-4.0,1.0,,-18.30%
healthcare,staff,unemployed,male,45-54,rarely,16.42,-31.69,10.0,-1.5,1.96,9.19,5.0,-3.0,3.0,,-31.69%
finance,freelancer,unemployed,male,35-44,always,5.8,-12.21,9.0,1.0,-9.65,43.88,2.0,1.0,6.0,,-12.21%
healthcare,staff,unemployed,male,18-24,always,-9.19,7.69,2.0,0.3,-8.78,46.82,7.0,4.0,1.0,,7.69%
finance,staff,unemployed,male,45-54,always,17.73,0.8,8.0,-3.5,-7.98,31.73,9.0,-2.0,7.0,,0.80%
technology,manager,unemployed,female,45-54,often,-2.51,21.56,7.0,2.0,-21.52,36.61,9.0,3.0,4.0,,21.56%
education,freelancer,unemployed,other,35-44,rarely,42.76,13.8,4.0,-3.5,-5.84,16.2,1.0,1.0,3.0,,13.80%
healthcare,freelancer,full-time,female,45-54,occasionally,18.56,18.39,2.0,5.5,-8.84,35.12,7.0,5.0,10.0,-0.2,18.39%
other,executive,self-employed,male,35-44,always,1.29,2.54,8.0,3.5,0.8,33.11,9.0,-5.0,9.0,,2.54%
other,executive,part-time,male,25-34,always,0.83,-30.29,5.0,-5.0,-4.09,47.89,6.0,-2.0,1.0,,-30.29%
manufacturing,manager,unemployed,other,55+,rarely,8.61,-6.91,6.0,3.5,8.36,6.88,1.0,4.0,8.0,,-6.91%
retail,manager,part-time,female,25-34,always,6.41,17.7,7.0,1.0,-4.3,29.95,2.0,5.0,1.0,,17.70%
technology,intern,full-time,other,35-44,often,26.75,-6.03,10.0,0.5,-10.62,23.91,4.0,0.0,5.0,,-6.03%
healthcare,executive,unemployed,female,35-44,often,12.8,9.56,1.0,3.0,-4.42,37.03,4.0,0.0,10.0,,9.56%
other,staff,self-employed,male,25-34,always,-0.97,-10.37,8.0,0.5,2.24,45.55,2.0,4.0,8.0,,-10.37%
retail,freelancer,part-time,other,18-24,rarely,38.36,-22.6,4.0,-1.5,-22.73,27.81,8.0,0.0,6.0,,-22.60%
other,manager,unemployed,other,18-24,rarely,10.74,-6.97,9.0,-4.0,-12.15,19.91,2.0,-1.0,7.0,,-6.97%
healthcare,freelancer,full-time,male,18-24,rarely,21.53,5.68,1.0,-2.0,-11.94,-2.95,3.0,-3.0,8.0,,5.68%
finance,freelancer,self-employed,other,35-44,never,0.88,-14.11,2.0,3.5,-0.89,20.39,4.0,-4.0,6.0,,-14.11%
healthcare,intern,part-time,female,45-54,always,15.45,-7.71,6.0,4.5,0.27,47.88,9.0,-3.0,6.0,,-7.71%
manufacturing,executive,part-time,female,35-44,rarely,14.67,-23.79,10.0,-0.2,-3.99,51.81,10.0,3.0,6.0,,-23.79%
healthcare,manager,unemployed,female,45-54,often,9.41,21.88,1.0,5.0,-29.79,30.76,1.0,-3.0,5.0,-0.2,21.88%
healthcare,freelancer,self-employed,female,25-34,occasionally,40.23,-7.89,4.0,-1.5,-21.52,23.35,8.0,-3.0,8.0,,-7.89%
manufacturing,manager,self-employed,male,55+,occasionally,29.36,25.06,8.0,-0.2,-7.39,33.2,5.0,-5.0,2.0,,25.06%
technology,staff,self-employed,other,45-54,rarely,4.04,25.57,10.0,-4.5,-10.01,22.44,7.0,-4.0,7.0,,25.57%
healthcare,intern,self-employed,female,18-24,occasionally,-6.53,-4.12,5.0,-3.0,-4.95,42.75,8.0,5.0,4.0,,-4.12%
manufacturing,staff,full-time,male,35-44,occasionally,15.21,-24.67,9.0,-2.0,-9.69,21.92,5.0,-3.0,1.0,,-24.67%
retail,manager,self-employed,other,25-34,never,11.3,-44.72,6.0,0.5,10.32,17.51,8.0,-4.0,5.0,,-44.72%
finance,manager,part-time,other,18-24,often,15.34,-29.94,1.0,4.0,-27.94,43.76,10.0,2.0,3.0,,-29.94%
finance,executive,part-time,male,25-34,often,12.87,-30.48,6.0,-4.5,-1.97,38.08,8.0,0.0,4.0,,-30.48%
healthcare,freelancer,full-time,male,55+,never,17.59,24.57,6.0,-0.5,3.28,31.61,9.0,1.0,7.0,,24.57%
technology,freelancer,part-time,female,35-44,never,31.71,-0.68,6.0,-0.5,2.02,15.63,2.0,-5.0,5.0,,-0.68%
technology,staff,part-time,other,35-44,occasionally,18.52,3.79,8.0,2.5,2.87,42.63,3.0,0.0,4.0,,3.79%
retail,intern,self-employed,other,55+,always,-5.74,-47.41,6.0,-1.5,4.31,23.36,1.0,-4.0,1.0,,-47.41%
healthcare,freelancer,part-time,male,35-44,occasionally,30.44,-26.46,5.0,4.0,-11.04,13.76,4.0,0.0,6.0,,-26.46%
finance,executive,full-time,other,45-54,never,34.61,16.74,2.0,5.5,-16.01,32.79,5.0,-3.0,10.0,-0.2,16.74%
technology,staff,self-employed,female,25-34,often,57.28,3.74,4.0,1.5,-25.35,35.07,1.0,1.0,6.0,,3.74%
healthcare,staff,unemployed,other,18-24,occasionally,-6.85,-7.94,10.0,-0.2,-8.63,39.21,8.0,-3.0,7.0,,-7.94%
other,executive,self-employed,male,55+,always,13.64,8.8,5.0,-2.0,-12.78,40.99,2.0,3.0,1.0,,8.80%
technology,intern,full-time,male,45-54,occasionally,-21.23,27.72,10.0,1.5,6.62,29.93,1.0,-3.0,4.0,,27.72%
manufacturing,executive,self-employed,female,18-24,rarely,18.3,-6.42,4.0,3.5,-7.88,11.72,2.0,1.0,9.0,,-6.42%
other,intern,self-employed,female,18-24,occasionally,1.78,0.39,2.0,-0.5,-15.3,29.73,5.0,-2.0,10.0,,0.39%
technology,executive,full-time,other,55+,never,38.85,0.35,7.0,-4.0,-16.89,33.62,9.0,2.0,6.0,,0.35%
finance,executive,self-employed,other,45-54,often,-1.62,42.84,10.0,-0.2,14.89,35.57,9.0,-4.0,2.0,,42.84%
education,manager,full-time,male,18-24,often,-15.34,-46.99,10.0,-3.5,-5.22,41.82,2.0,2.0,4.0,,-46.99%
other,staff,full-time,female,18-24,never,2.93,12.66,2.0,-0.5,-12.82,26.54,2.0,3.0,6.0,,12.66%
retail,executive,unemployed,female,45-54,rarely,-19.63,-2.8,1.0,4.0,-3.76,14.87,3.0,2.0,4.0,,-2.80%
retail,executive,part-time,female,35-44,never,21.27,8.84,5.0,1.0,13.97,28.57,7.0,0.0,10.0,,8.84%
finance,freelancer,part-time,other,18-24,occasionally,-20.98,-13.65,1.0,2.0,-8.9,26.86,3.0,4.0,7.0,,-13.65%
technology,staff,self-employed,female,25-34,never,10.43,-1.48,1.0,7.0,1.87,17.4,1.0,-5.0,3.0,-0.2,-1.48%
healthcare,freelancer,self-employed,male,45-54,never,-21.17,13.73,1.0,-2.0,6.86,40.98,6.0,1.0,6.0,,13.73%
technology,staff,unemployed,male,18-24,rarely,5.2,59.26,6.0,-3.5,-23.91,30.97,3.0,-5.0,4.0,,59.26%
finance,freelancer,unemployed,other,55+,occasionally,34.65,11.66,9.0,2.0,-11.38,23.61,1.0,1.0,3.0,,11.66%
retail,executive,unemployed,other,25-34,always,15.41,-21.96,10.0,0.5,5.61,40.65,4.0,-4.0,3.0,,-21.96%
technology,executive,full-time,female,18-24,always,-2.95,-8.98,1.0,5.0,-11.99,40.37,1.0,2.0,2.0,-0.2,-8.98%
retail,manager,unemployed,other,25-34,often,9.53,-11.57,5.0,-1.0,-0.85,51.86,1.0,-4.0,3.0,,-11.57%
other,freelancer,unemployed,male,25-34,never,10.27,-40.41,9.0,-5.0,-12.58,20.39,2.0,-3.0,10.0,,-40.41%
healthcare,intern,self-employed,female,35-44,often,17.09,-11.1,9.0,-0.2,-9.46,57.08,10.0,-3.0,1.0,,-11.10%
other,manager,unemployed,male,25-34,rarely,-10.5,14.16,1.0,4.0,-10.67,12.03,8.0,-5.0,3.0,,14.16%
retail,freelancer,full-time,female,35-44,always,18.89,-29.48,8.0,-1.5,1.37,39.68,2.0,-1.0,9.0,,-29.48%
retail,freelancer,full-time,male,18-24,never,-30.57,20.47,1.0,6.0,-2.98,12.37,2.0,-1.0,4.0,-0.2,20.47%
education,manager,self-employed,male,18-24,rarely,0.55,5.76,8.0,3.5,-4.01,20.05,10.0,4.0,3.0,,5.76%
education,executive,unemployed,female,55+,rarely,2.68,-15.18,1.0,3.0,20.07,20.27,10.0,-1.0,8.0,,-15.18%
other,freelancer,unemployed,male,18-24,never,19.5,-5.33,5.0,-5.0,12.4,12.89,8.0,3.0,1.0,,-5.33%
manufacturing,executive,full-time,male,45-54,rarely,10.34,27.97,8.0,-0.2,-24.81,42.3,6.0,0.0,5.0,,27.97%
other,manager,unemployed,female,45-54,never,-11.08,11.67,6.0,3.5,-9.43,34.23,4.0,0.0,1.0,,11.67%
education,executive,unemployed,other,55+,never,-4.77,-4.32,9.0,-0.2,19.26,24.03,3.0,-3.0,7.0,,-4.32%
retail,staff,unemployed,other,35-44,occasionally,12.98,-5.25,1.0,6.0,-10.75,25.26,1.0,-1.0,5.0,-0.2,-5.25%
finance,intern,part-time,male,18-24,often,8.81,-2.97,9.0,-5.0,15.88,28.17,3.0,4.0,2.0,,-2.97%
other,freelancer,self-employed,other,35-44,rarely,1.31,-10.74,1.0,-3.0,-9.26,32.42,9.0,1.0,1.0,,-10.74%
retail,intern,part-time,male,25-34,rarely,2.79,-47.09,10.0,-3.5,-7.34,28.0,5.0,-3.0,7.0,,-47.09%
finance,executive,self-employed,other,35-44,occasionally,20.44,35.84,10.0,-0.2,3.64,28.55,6.0,-4.0,1.0,,35.84%
finance,freelancer,full-time,female,45-54,occasionally,2.23,1.61,3.0,-4.0,-5.9,35.41,5.0,-1.0,3.0,,1.61%
education,executive,unemployed,male,18-24,occasionally,8.68,7.46,1.0,4.0,-0.05,38.91,1.0,-3.0,6.0,,7.46%
other,staff,self-employed,male,35-44,always,42.55,-2.66,3.0,6.0,10.75,38.46,10.0,-1.0,6.0,-0.2,-2.66%
technology,manager,part-time,female,18-24,always,-11.36,-15.7,2.0,1.5,2.59,32.13,1.0,3.0,7.0,,-15.70%
healthcare,freelancer,unemployed,male,18-24,always,-17.78,-4.72,2.0,4.5,-3.58,26.79,4.0,5.0,1.0,,-4.72%
education,staff,full-time,other,25-34,never,21.75,-36.49,9.0,-5.0,11.74,22.51,3.0,4.0,7.0,,-36.49%
education,staff,self-employed,other,25-34,rarely,-0.18,41.54,8.0,1.5,3.77,46.67,8.0,-5.0,2.0,,41.54%
technology,freelancer,self-employed,male,45-54,often,5.23,-25.19,1.0,5.0,-12.34,23.89,7.0,-2.0,6.0,-0.2,-25.19%
healthcare,executive,self-employed,other,55+,never,-1.72,-22.64,4.0,-4.5,14.8,30.99,7.0,4.0,8.0,,-22.64%
retail,staff,unemployed,male,18-24,rarely,6.1,-9.31,1.0,-1.0,1.42,18.24,8.0,-1.0,5.0,,-9.31%
manufacturing,intern,part-time,female,55+,rarely,33.98,25.26,1.0,2.0,-7.14,20.26,10.0,-4.0,10.0,,25.26%
other,staff,part-time,male,45-54,occasionally,22.03,-1.71,4.0,2.5,-25.21,39.15,7.0,-4.0,3.0,,-1.71%
manufacturing,executive,self-employed,female,18-24,occasionally,22.93,-25.72,2.0,-0.5,-18.78,27.45,10.0,-5.0,8.0,,-25.72%
retail,executive,full-time,other,18-24,never,-11.24,23.59,3.0,0.0,12.0,22.48,2.0,2.0,8.0,,23.59%
education,intern,full-time,female,55+,occasionally,-7.27,10.12,9.0,1.0,12.4,32.29,4.0,-4.0,4.0,,10.12%
healthcare,staff,part-time,other,35-44,rarely,-32.59,9.77,2.0,1.5,-4.15,18.26,6.0,-3.0,8.0,,9.77%
education,executive,full-time,male,25-34,occasionally,-2.14,12.31,4.0,1.5,-22.7,38.95,3.0,-4.0,5.0,,12.31%
finance,freelancer,part-time,other,35-44,always,24.35,47.39,1.0,3.0,-15.87,39.38,3.0,-2.0,5.0,,47.39%
education,manager,self-employed,male,55+,occasionally,17.75,42.7,2.0,-0.5,-21.24,16.11,6.0,-5.0,3.0,,42.70%
education,manager,part-time,male,25-34,rarely,6.68,-16.23,5.0,-2.0,-21.6,16.08,1.0,-3.0,7.0,,-16.23%
retail,manager,part-time,female,35-44,never,9.67,27.48,10.0,-4.5,15.27,-11.17,1.0,-1.0,9.0,,27.48%
retail,staff,self-employed,female,25-34,often,-0.33,7.16,1.0,7.0,15.6,35.52,5.0,4.0,9.0,-0.2,7.16%
retail,intern,full-time,female,18-24,occasionally,13.07,6.48,7.0,-2.0,-16.21,43.04,1.0,-5.0,1.0,,6.48%
manufacturing,executive,part-time,female,35-44,rarely,21.49,-35.85,4.0,-0.5,-5.09,14.53,10.0,-2.0,1.0,,-35.85%
finance,freelancer,part-time,other,25-34,often,-14.24,-6.41,6.0,1.5,-17.85,40.86,8.0,0.0,10.0,,-6.41%
retail,freelancer,self-employed,other,25-34,often,14.49,-20.26,8.0,1.5,-5.15,39.31,2.0,-2.0,5.0,,-20.26%
healthcare,staff,full-time,other,25-34,always,23.99,13.56,6.0,-4.5,11.39,32.48,6.0,1.0,1.0,,13.56%
manufacturing,manager,part-time,male,35-44,often,3.77,20.42,2.0,6.5,5.79,50.37,10.0,1.0,4.0,-0.2,20.42%
technology,staff,self-employed,other,45-54,rarely,20.51,-41.99,1.0,3.0,3.09,22.27,10.0,0.0,1.0,,-41.99%
healthcare,intern,part-time,other,35-44,rarely,52.22,-4.44,8.0,-0.2,-6.94,45.1,5.0,3.0,2.0,,-4.44%
other,intern,unemployed,other,55+,occasionally,8.43,18.44,8.0,-0.2,7.62,13.64,10.0,-4.0,2.0,,18.44%
other,executive,self-employed,female,35-44,occasionally,15.9,-8.23,9.0,-4.0,1.47,27.31,4.0,4.0,4.0,,-8.23%
healthcare,executive,full-time,other,25-34,occasionally,-1.07,11.58,6.0,3.5,-0.96,28.5,1.0,2.0,8.0,,11.58%
retail,intern,full-time,male,18-24,often,12.72,6.52,1.0,3.0,-6.15,34.59,3.0,2.0,2.0,,6.52%
technology,intern,full-time,female,35-44,often,16.9,2.33,9.0,-0.2,-1.82,42.16,4.0,5.0,9.0,,2.33%
technology,intern,full-time,male,35-44,always,12.92,-6.93,3.0,6.0,-2.12,73.98,2.0,4.0,9.0,-0.2,-6.93%
manufacturing,staff,part-time,other,25-34,occasionally,-5.3,-27.33,6.0,-4.5,-10.41,34.55,2.0,5.0,2.0,,-27.33%
technology,intern,part-time,female,18-24,never,13.1,-27.43,10.0,-0.2,-12.75,20.24,2.0,-2.0,1.0,,-27.43%
other,freelancer,full-time,male,18-24,always,31.93,9.19,10.0,1.5,-14.97,29.04,1.0,0.0,10.0,,9.19%
finance,manager,full-time,other,55+,never,16.73,-4.11,9.0,-0.2,-14.33,1.1,10.0,5.0,10.0,,-4.11%
retail,intern,full-time,male,35-44,often,24.43,-4.27,3.0,2.0,-6.88,46.7,2.0,0.0,9.0,,-4.27%
technology,manager,part-time,male,18-24,always,6.44,-10.98,5.0,3.0,-8.53,34.53,6.0,-1.0,2.0,,-10.98%
manufacturing,staff,full-time,male,18-24,always,21.25,-8.6,5.0,0.0,-11.21,66.04,3.0,-5.0,8.0,,-8.60%
other,manager,full-time,other,45-54,rarely,14.19,15.94,10.0,1.5,-11.95,33.68,10.0,-3.0,3.0,,15.94%
finance,staff,unemployed,other,45-54,often,-4.26,-10.2,7.0,-5.0,-2.08,38.42,5.0,1.0,1.0,,-10.20%
education,freelancer,unemployed,male,18-24,often,14.78,-28.82,4.0,4.5,8.78,38.94,1.0,2.0,1.0,,-28.82%
education,staff,full-time,female,55+,always,-4.88,12.87,4.0,4.5,-5.11,44.04,8.0,-4.0,10.0,,12.87%
finance,staff,self-employed,female,18-24,often,0.51,-7.6,7.0,2.0,-5.76,28.05,4.0,-3.0,2.0,,-7.60%
other,executive,full-time,other,25-34,always,12.84,-3.87,9.0,-1.0,-14.35,22.48,9.0,-2.0,7.0,,-3.87%
manufacturing,intern,unemployed,other,35-44,rarely,14.46,30.15,4.0,5.5,-7.23,19.49,4.0,5.0,6.0,-0.2,30.15%
finance,intern,self-employed,other,55+,always,-7.84,-2.41,4.0,-4.5,6.9,39.82,2.0,-1.0,2.0,,-2.41%
retail,freelancer,self-employed,other,25-34,often,25.81,2.78,6.0,2.5,5.37,28.52,3.0,-3.0,4.0,,2.78%
retail,freelancer,full-time,other,55+,often,18.58,-26.58,6.0,-4.5,4.68,22.14,5.0,-1.0,2.0,,-26.58%
education,intern,unemployed,female,25-34,always,-0.57,-7.89,7.0,-3.0,4.36,32.52,10.0,2.0,1.0,,-7.89%
technology,executive,unemployed,other,35-44,always,-13.06,11.69,1.0,5.0,-0.63,50.36,6.0,2.0,3.0,-0.2,11.69%
manufacturing,intern,self-employed,male,35-44,always,7.83,-32.61,3.0,-1.0,-0.99,47.48,7.0,-4.0,4.0,,-32.61%
education,executive,full-time,male,45-54,occasionally,3.31,-0.48,9.0,-5.0,-2.55,31.71,4.0,0.0,10.0,,-0.48%
technology,freelancer,part-time,female,25-34,often,11.7,-0.98,6.0,-0.2,-9.17,40.87,7.0,-2.0,5.0,,-0.98%
technology,manager,part-time,male,45-54,often,4.55,-2.17,6.0,0.5,-4.16,23.68,10.0,3.0,5.0,,-2.17%
retail,freelancer,unemployed,female,25-34,occasionally,-20.11,18.24,5.0,0.0,-2.84,22.05,3.0,4.0,7.0,,18.24%
other,freelancer,part-time,female,45-54,always,4.17,5.19,3.0,5.0,1.33,43.11,7.0,-4.0,10.0,-0.2,5.19%
healthcare,staff,unemployed,male,35-44,rarely,5.42,27.06,5.0,-2.0,-4.0,14.95,4.0,2.0,8.0,,27.06%
other,staff,unemployed,other,55+,always,19.5,-20.37,1.0,2.0,16.05,41.08,8.0,-5.0,9.0,,-20.37%
healthcare,staff,unemployed,male,45-54,always,-0.47,1.22,3.0,1.0,-17.1,27.37,9.0,5.0,7.0,,1.22%
finance,staff,part-time,male,25-34,occasionally,35.18,-0.31,4.0,-1.5,2.54,13.5,7.0,0.0,5.0,,-0.31%
retail,executive,unemployed,female,25-34,often,-18.67,-23.89,5.0,0.0,-5.41,42.36,8.0,5.0,9.0,,-23.89%
technology,intern,self-employed,male,35-44,always,29.67,14.13,10.0,1.5,-4.98,50.27,8.0,5.0,8.0,,14.13%
manufacturing,manager,full-time,female,25-34,often,6.64,41.99,9.0,3.0,-13.13,28.69,2.0,4.0,10.0,,41.99%
healthcare,freelancer,full-time,other,18-24,never,22.89,-2.34,4.0,2.5,5.19,4.8,9.0,-5.0,9.0,,-2.34%
other,executive,unemployed,other,55+,often,11.2,8.6,3.0,-2.0,1.53,12.92,6.0,-4.0,10.0,,8.60%
technology,manager,full-time,other,45-54,rarely,27.09,-3.31,10.0,-4.5,3.34,43.42,4.0,-3.0,8.0,,-3.31%
healthcare,executive,part-time,male,55+,rarely,4.19,-14.77,1.0,6.0,-3.31,26.11,5.0,3.0,6.0,-0.2,-14.77%
healthcare,executive,part-time,female,35-44,always,-6.48,-41.42,10.0,-0.2,-8.25,33.92,10.0,-1.0,4.0,,-41.42%
healthcare,freelancer,full-time,other,45-54,often,31.31,-17.12,6.0,-2.5,-5.67,31.36,5.0,4.0,9.0,,-17.12%
manufacturing,intern,part-time,female,45-54,always,8.3,-31.34,7.0,4.0,-0.67,20.87,7.0,4.0,9.0,,-31.34%
retail,staff,full-time,female,18-24,occasionally,13.32,29.08,10.0,1.5,-25.06,36.2,9.0,-4.0,10.0,,29.08%
manufacturing,intern,full-time,other,35-44,rarely,28.52,-6.3,8.0,2.5,3.73,45.0,7.0,4.0,10.0,,-6.30%
education,freelancer,full-time,other,25-34,always,-5.48,-7.42,1.0,5.0,19.26,32.17,9.0,-1.0,9.0,-0.2,-7.42%
technology,freelancer,unemployed,female,18-24,occasionally,18.93,15.78,4.0,2.5,-0.2,53.83,4.0,-1.0,10.0,,15.78%
retail,freelancer,full-time,other,18-24,always,1.15,-24.94,5.0,5.0,-7.81,38.84,10.0,-5.0,3.0,-0.2,-24.94%
retail,manager,unemployed,female,55+,often,8.02,-16.34,2.0,-0.5,-6.61,51.67,10.0,-3.0,3.0,,-16.34%
retail,intern,full-time,female,55+,often,11.08,0.86,1.0,3.0,2.08,38.07,4.0,-1.0,6.0,,0.86%
other,intern,full-time,other,55+,often,-12.5,16.58,8.0,2.5,-7.58,38.06,6.0,3.0,6.0,,16.58%
retail,executive,full-time,male,18-24,often,-1.68,7.03,6.0,-3.5,3.69,53.44,8.0,4.0,6.0,,7.03%
manufacturing,executive,part-time,other,25-34,never,30.27,2.47,5.0,3.0,-6.74,27.83,9.0,-5.0,5.0,,2.47%
retail,executive,unemployed,male,45-54,occasionally,23.29,-2.94,9.0,2.0,12.14,33.75,1.0,2.0,5.0,,-2.94%
finance,freelancer,unemployed,female,55+,occasionally,9.06,7.0,2.0,-0.5,11.87,10.59,1.0,-5.0,2.0,,7%
technology,intern,full-time,female,25-34,often,13.65,-0.97,10.0,-0.2,-8.3,19.93,8.0,3.0,7.0,,-0.97%
retail,freelancer,full-time,male,35-44,never,5.59,-24.6,8.0,2.5,-5.81,24.59,7.0,0.0,4.0,,-24.60%
technology,manager,part-time,female,55+,often,30.35,-4.08,10.0,-3.5,-5.22,49.68,9.0,-5.0,3.0,,-4.08%
finance,executive,part-time,male,45-54,never,6.99,-25.97,9.0,-0.2,-5.09,21.28,3.0,2.0,8.0,,-25.97%
finance,freelancer,part-time,male,35-44,often,13.48,1.12,1.0,6.0,-14.47,29.09,10.0,-1.0,4.0,-0.2,1.12%
technology,freelancer,unemployed,female,35-44,rarely,27.19,-13.11,7.0,-1.0,-15.87,6.61,5.0,1.0,4.0,,-13.11%
healthcare,manager,unemployed,male,45-54,rarely,-1.66,46.79,8.0,3.5,7.5,17.16,3.0,1.0,8.0,,46.79%
education,staff,unemployed,other,55+,always,33.38,-2.3,3.0,5.0,5.9,41.31,5.0,1.0,1.0,-0.2,-2.30%
other,intern,full-time,other,18-24,often,-12.96,-30.08,4.0,-4.5,5.73,26.44,10.0,0.0,9.0,,-30.08%
healthcare,staff,unemployed,female,45-54,occasionally,34.44,-4.18,3.0,1.0,-5.69,20.36,1.0,5.0,7.0,,-4.18%
healthcare,executive,self-employed,female,45-54,always,4.41,6.89,7.0,-3.0,13.92,39.49,4.0,2.0,2.0,,6.89%
manufacturing,freelancer,self-employed,male,45-54,rarely,6.36,28.97,9.0,-5.0,-5.22,39.48,6.0,3.0,6.0,,28.97%
other,manager,part-time,male,35-44,often,-18.35,-13.29,3.0,-3.0,3.63,41.85,2.0,-4.0,8.0,,-13.29%
other,manager,unemployed,male,25-34,always,3.18,-34.65,6.0,0.5,-18.89,42.86,7.0,1.0,5.0,,-34.65%
healthcare,intern,self-employed,male,18-24,often,-5.6,12.34,8.0,1.5,-7.3,36.88,8.0,-4.0,6.0,,12.34%
retail,staff,part-time,other,55+,rarely,0.89,-30.61,6.0,-3.5,-6.56,30.51,1.0,0.0,10.0,,-30.61%
manufacturing,intern,unemployed,other,55+,always,7.94,-9.72,2.0,1.5,-5.65,38.9,4.0,-4.0,8.0,,-9.72%
manufacturing,freelancer,full-time,female,25-34,rarely,24.37,-8.65,7.0,2.0,-18.25,20.89,4.0,4.0,6.0,,-8.65%
finance,intern,self-employed,male,45-54,never,13.11,-2.39,2.0,-2.5,2.04,27.38,5.0,0.0,9.0,,-2.39%
